,Date,Price,Open,High,Low,Vol,Change%
113,05/04/2001,332.00,332.00,332.00,332.00,0.12K,1.49%
114,05/07/2001,338.35,338.35,338.35,338.35,0.07K,1.91%
115,05/09/2001,344.47,344.47,344.47,344.47,0.16K,1.81%
116,05/11/2001,351.06,351.06,351.06,351.06,0.03K,1.91%
117,05/14/2001,357.65,357.65,357.65,357.65,0.06K,1.88%
118,05/16/2001,364.27,364.27,364.27,364.27,0.03K,1.85%
119,05/18/2001,370.90,370.90,370.90,370.90,0.06K,1.82%
120,05/21/2001,377.43,377.43,377.43,377.43,0.05K,1.76%
121,05/23/2001,384.16,384.16,384.16,384.16,0.23K,1.78%
122,05/25/2001,390.88,390.88,390.88,390.88,0.08K,1.75%
123,05/28/2001,397.50,397.50,397.50,397.50,0.13K,1.69%
124,05/30/2001,404.26,404.26,404.26,404.26,0.01K,1.70%
125,06/01/2001,411.03,411.03,411.03,411.03,0.02K,1.67%
126,06/04/2001,417.79,417.79,417.79,417.79,0.02K,1.64%
127,06/06/2001,424.56,424.56,424.56,424.56,0.03K,1.62%
128,06/08/2001,426.58,426.58,426.58,426.58,0.19K,0.48%
129,06/11/2001,428.02,428.02,428.02,428.02,0.43K,0.34%
130,06/13/2001,456.18,456.18,456.18,456.18,0.12K,6.58%
131,06/15/2001,486.34,486.34,486.34,486.34,0.07K,6.61%
132,06/18/2001,518.62,518.62,518.62,518.62,0.21K,6.64%
133,06/20/2001,553.56,553.56,553.56,553.56,0.14K,6.74%
134,06/22/2001,563.00,563.00,563.00,563.00,0.54K,1.71%
135,06/25/2001,571.04,571.04,571.04,571.04,0.27K,1.43%
136,06/27/2001,531.93,531.93,531.93,531.93,0.08K,-6.85%
137,06/29/2001,500.28,500.28,500.28,500.28,0.12K,-5.95%
138,07/02/2001,491.17,491.17,491.17,491.17,0.18K,-1.82%
139,07/04/2001,512.80,512.80,512.80,512.80,0.27K,4.40%
140,07/06/2001,502.93,502.93,502.93,502.93,0.22K,-1.92%
141,07/09/2001,470.83,470.83,470.83,470.83,0.11K,-6.38%
142,07/11/2001,436.13,436.13,436.13,436.13,0.09K,-7.37%
143,07/13/2001,416.46,416.46,416.46,416.46,0.17K,-4.51%
144,07/16/2001,411.43,411.43,411.43,411.43,0.12K,-1.21%
145,07/18/2001,438.12,438.12,438.12,438.12,0.10K,6.49%
146,07/20/2001,466.67,466.67,466.67,466.67,0.08K,6.52%
147,07/23/2001,438.33,438.33,438.33,438.33,0.28K,-6.07%
148,07/25/2001,450.87,450.87,450.87,450.87,0.14K,2.86%
149,07/27/2001,445.37,445.37,445.37,445.37,0.10K,-1.22%
150,07/30/2001,422.46,422.46,422.46,422.46,0.10K,-5.14%
151,08/01/2001,395.63,395.63,395.63,395.63,0.12K,-6.35%
152,08/03/2001,371.76,371.76,371.76,371.76,0.06K,-6.03%
153,08/06/2001,350.69,350.69,350.69,350.69,0.08K,-5.67%
154,08/08/2001,373.63,373.63,373.63,373.63,0.26K,6.54%
155,08/10/2001,394.18,394.18,394.18,394.18,0.21K,5.50%
